,TIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase
573, TIC 458682259,3516.65,4.26,3,149.82686525665645,0.1597302887605565,0.22916984987591604,0.10417547882934741,154.15006478627524,449.0677833557129,5.401372909545898
574, TIC 8988177,3675.46,4.71,16,181.8215866975927,0.06597343084959562,0.13889279312115832,0.027778362193657813,775.2791002392769,6056.794738769531,6.645715236663818
575, TIC 245820054,3910.15,4.6,7,205.08716967596774,0.10516340172690823,0.3889212496096661,0.027777548443282285,519.745809691293,2995.482635498047,8.219265937805176
576, TIC 437030360,3999.07,4.69,0,0,0.0,0,0,0.0,0,0
577, TIC 7024744,3516.37,4.57,1,48.8338793926182,0.1666718626452166,0.1666718626452166,0.1666718626452166,3.7249207496643066,3.7249207496643066,3.7249207496643066
578, TIC 335103856,3823.27,4.62,0,25.00033352832611,0.0,0,0,0.0,0,0
579, TIC 8988199,3486.11,4.77,2,109.41779047530531,0.32291445112787187,0.5208297921344638,0.12499911012127995,-7550.529557075901,-6981.888568140135,-8119.1705460116655
580, TIC 437038864,3628.27,4.77,0,0,0.0,0,0,0.0,0,0
581, TIC 44476807,3838.85,4.65,0,24.64603980508946,0.0,0,0,0.0,0,0
582, TIC 242985004,3625.08,4.16,4,104.04044658406474,0.1822891456907314,0.3541546843307515,0.1041684178635478,-94238.41211634356,206.5269947052002,-369558.7295550987
583, TIC 444009797,3790.88,4.71,3,24.417161256971895,0.41667731064171676,0.5625122903009014,0.3333465669979887,502.90245215098065,818.2573318481445,46.125006675720215
584, TIC 9054080,4185.77,4.63,0,109.41798207012653,0.0,0,0,0.0,0,0
585, TIC 225802354,4199.86,4.59,0,0,0.0,0,0,0.0,0,0
586, TIC 173097336,3461.9,4.41,0,24.562612728601835,0.0,0,0,0.0,0,0
587, TIC 38114155,3313.46,4.93,6,73.041652873477,0.43055849730376394,0.6458322592934564,0.14583277382803317,81.4988652865092,222.82452583312988,4.812061786651611
588, TIC 9700025,4141.48,4.68,1,109.41827044557431,1.104165744036436,1.104165744036436,1.104165744036436,-3803.83341866116,-3803.83341866116,-3803.83341866116
589, TIC 130714127,4057.24,4.67,21,79.36412574821043,0.12897172333022613,0.6666741929341242,0.027778403766205884,298.5818601789929,2525.589370727539,6.006157398223877
590, TIC 175588676,3614.95,4.61,3,27.895670827982713,0.5694417717487946,1.083318824745902,0.12500117898594,28.16070318222046,38.333678245544434,10.337960720062256
591, TIC 23202332,3531.38,4.89,0,0,0.0,0,0,0.0,0,0
592, TIC 9003224,3952.08,4.63,2,109.41794250444809,0.6458347800653428,0.9166623316705227,0.3750072284601629,-12570.364410833663,-5859.615445540935,-19281.11337612639
593, TIC 437031083,3488.64,4.86,0,0,0.0,0,0,0.0,0,0
594, TIC 245799420,3580.0,4.8,3,156.12529795832802,0.09953588370399302,0.18055402432764822,0.03472194001051321,509.4519257545471,1109.4130516052246,94.18190717697144
595, TIC 202619681,4217.31,4.64,0,0,0.0,0,0,0.0,0,0
596, TIC 117509025,3458.23,4.85,0,0,0.0,0,0,0.0,0,0
597, TIC 386622134,3457.69,4.57,1,48.833760600137566,0.12500049359346121,0.12500049359346121,0.12500049359346121,2.615213394165039,2.615213394165039,2.615213394165039
598, TIC 117380455,3595.54,4.53,5,103.31172279417774,0.2666664065682198,0.7916565650471057,0.027779676014688448,482.8965735435486,2226.8457412719727,4.1048407554626465
